date      KO       IBM     CAT VW   EW  SP
19770630 0.047235 0.075356 0.022124 0.051367 0.051503 0.04536
19770729 0.050336 0.015625 -0.075758 -0.01281 0.012362 -0.016222
19770831 0.015974 0.010256 -0.033019 -0.013352 -0.001233 -0.021042
19770930 0.006541 -0.02748 0.073171 0.001574 0.014968 -0.00248
19771031 -0.056782 -0.014368 -0.055455 -0.03928 -0.02319 -0.043406
19771130 0.023679 0.035957 0.065534 0.045432 0.070872 0.026966
19771230 -0.016502 0.035985 0 0.008218 0.021081 0.002847
19780131 -0.040268 -0.02925 -0.089749 -0.055202 -0.011152 -0.061514
19780228 0.003497 -0.042825 -0.005051 -0.009275 0.026008 -0.024762
19780331 0.067875 -0.062687 -0.038071 0.034013 0.067839 0.024931
19780428 0.115512 0.129512 0.178364 0.082841 0.079317 0.085416
19780531 0.008876 -0.018308 0.004515 0.023238 0.06762 0.004234
19780630 -0.010323 -0.003872 0.004494 -0.010751 0.010292 -0.017585
19780731 0.020958 0.092323 0.077405 0.056749 0.052394 0.05391
19780831 0.055718 0.04895 0.004184 0.042352 0.093545 0.025924
19780929 -0.012556 -0.050964 -0.01875 -0.006891 0.0062 -0.007261
19781031 -0.071023 -0.046029 -0.052654 -0.110997 -0.17728 -0.091574
19781130 0.019817 0.030766 0.022624 0.033792 0.038205 0.01664
19781229 0.063636 0.107607 0.039823 0.01771 0.014346 0.014889
19790131 -0.002849 0.034338 0.042979 0.049489 0.093661 0.039746
19790228 -0.037143 -0.017198 -0.049383 -0.026766 -0.016269 -0.036526
19790330 -0.009139 0.051667 0.028139 0.065618 0.084167 0.055152
19790430 -0.033333 -0.003962 -0.064842 0.008522 0.028814 0.001673
19790531 -0.015674 -0.021671 0.004545 -0.013576 -0.006845 -0.026336
19790629 -0.012994 -0.034539 -0.002262 0.04685 0.054663 0.038656
19790731 0.026144 -0.049404 0.016327 0.014991 0.021366 0.008746
19790831 0.019108 0.015914 0.024775 0.064728 0.075616 0.053078
19790928 -0.072125 -0.032143 -0.01978 0.001428 -0.001172 0
19791031 -0.061433 -0.079336 -0.098206 -0.07266 -0.097915 -0.068606
19791130 -0.007564 0.05988 0.085427 0.063603 0.065295 0.042624
19791231 0.026022 -0.01341 0 0.028212 0.067485 0.016767
19800131 0.018116 0.066019 0.060648 0.065607 0.105129 0.057625
19800229 -0.064057 -0.062149 -0.061674 0.001015 -0.006301 -0.00438
19800331 -0.025399 -0.122047 -0.105634 -0.120224 -0.165043 -0.101795
19800430 0.055556 -0.015695 -0.000525 0.052288 0.053461 0.04114
19800530 0.015038 0.024784 0.050532 0.06009 0.071249 0.046571
19800630 -0.006222 0.060948 0.068354 0.037714 0.046176 0.026969
19800731 0.121212 0.110638 0.129858 0.069438 0.089279 0.065039
19800829 -0.040541 0.017011 -0.101695 0.023553 0.063984 0.005835
19800930 -0.076338 -0.020992 0.054245 0.029498 0.052459 0.025168
19801031 -0.050388 0.038986 0.03311 0.020093 0.047525 0.016021
19801128 0.009469 0.035422 0.098468 0.104951 0.069205 0.102377
19801231 0.098765 -0.00367 -0.075697 -0.034409 -0.032416 -0.033874
19810130 0.007491 -0.051565 -0.032759 -0.040085 0.005615 -0.045742
19810227 0.066914 0.011417 0.157658 0.015521 0.00215 0.013277
19810331 0.044042 -0.029183 0.005837 0.046184 0.072674 0.036033
19810430 -0.061017 -0.06012 0.12147 -0.011268 0.027885 -0.023456
19810529 0.079422 0.016802 -0.053913 0.013551 0.027187 -0.001657
19810630 -0.054716 -0.014894 -0.034926 -0.010242 -0.013194 -0.010408
19810731 -0.021583 -0.030238 -0.038476 -0.00308 -0.01998 -0.00221
19810831 -0.036765 -0.002494 -0.07 -0.056279 -0.071906 -0.062099
19810930 0.048244 -0.018141 -0.077419 -0.063772 -0.090061 -0.053832
19811030 0.092593 -0.048499 -0.051748 0.060162 0.069728 0.049148
19811130 -0.018169 0.074951 0.134328 0.045849 0.021667 0.03659
19811231 -0.024561 0.043578 -0.026316 -0.028096 -0.019694 -0.030075
19820129 -0.061151 0.118681 -0.041892 -0.026209 -0.017347 -0.017544
19820226 -0.072797 -0.013988 -0.102381 -0.051126 -0.047987 -0.060548
19820331 0.10314 -0.034343 0.026525 -0.010099 -0.012064 -0.010167
19820430 0.041985 0.075314 -0.037726 0.043267 0.052242 0.040014
19820528 -0.044103 -0.029416 -0.19891 -0.028212 -0.02249 -0.039162
19820630 0.054688 -0.014228 0.010204 -0.023912 -0.036699 -0.02029
19820730 0.085185 0.082474 0.004714 -0.020526 -0.014776 -0.022991
19820831 0.075085 0.08739 0.098976 0.119013 0.063285 0.115977
19820930 0.050667 0.04078 -0.161491 0.016761 0.033164 0.007614
19821029 0.07362 0.088586 0.12963 0.118636 0.128447 0.110364
19821130 0.1456 0.093709 0.039735 0.051935 0.092037 0.036123
19821231 0.050505 0.112717 0.022293 0.014516 0.023447 0.015158
19830131 -0.033654 0.027273 0.074766 0.04185 0.117062 0.033134
19830228 -0.00995 0.009962 0.035088 0.030219 0.047266 0.018995
19830331 0.088844 0.027778 -0.036723 0.034673 0.050515 0.033095
19830429 0.03972 0.149877 0.099707 0.074188 0.080687 0.074922
19830531 -0.067416 -0.041026 0.005376 0.013226 0.09174 -0.012346
19830630 -0.025639 0.080899 0.010695 0.037838 0.046341 0.035224
19830729 -0.072682 0.00104 -0.060847 -0.031567 -0.017556 -0.033014
19830831 0.113514 0.000623 -0.107955 0.003463 -0.03292 0.011319
19830930 0.000874 0.061715 0.111465 0.016059 5.1e-05 0.010158
19831031 0.02457 -0.000985 -0.094556 -0.028049 -0.059273 -0.015174
19831130 0.072806 -0.066469 0.14377 0.029556 0.031713 0.017426
19831230 -0.031674 0.039404 0.055866 -0.010464 -0.019672 -0.008834
19840131 -0.051402 -0.064549 0.031746 -0.013023 0.005424 -0.009216
19840229 0.022167 -0.02563 -0.062016 -0.039073 -0.050767 -0.038859
19840330 0.071133 0.034014 0.129477 0.013389 0.007449 0.013498
19840430 0 -0.002193 -0.07561 0.002534 -0.020524 0.005466
19840531 0.002278 -0.044396 -0.132979 -0.052342 -0.05157 -0.059356
19840629 0.060273 -0.018561 -0.079755 0.023385 0.011996 0.017469
19840731 0.032538 0.047281 -0.073333 -0.020621 -0.050303 -0.016451
19840831 0.039916 0.127314 0.130909 0.112689 0.088817 0.106332
19840928 0.023273 0.00404 -0.099678 0.000404 -0.000377 -0.00348
19841031 0.037924 0.011871 -0.110714 -7.4e-05 -0.023756 -6e-05
19841130 -0.037462 -0.023069 -0.004032 -0.010685 -0.031506 -0.015112
19841231 0.008081 0.011294 0.004049 0.023656 0.002732 0.022374
19850131 -0.038076 0.107614 0.080645 0.085718 0.121475 0.074085
19850228 0.058333 -0.009349 -0.014981 0.016896 0.046034 0.008685
19850329 0.114016 -0.052239 -0.022814 -0.001747 -0.003581 -0.002925
19850430 -0.021429 -0.003937 -0.011673 -0.002186 -0.009652 -0.004594
19850531 -0.009124 0.025494 0.094862 0.055775 0.022221 0.054051
19850628 0.033002 -0.037901 -0.043321 0.017091 0.002103 0.012134
19850731 0.041441 0.061616 0.116981 -0.000251 0.021382 -0.004848
19850830 -0.008651 -0.027783 -0.023729 -0.004795 -0.002214 -0.011995
19850930 -0.015846 -0.021718 -0.017361 -0.039825 -0.056859 -0.034724
19851031 0.026882 0.048436 0.007067 0.044441 0.017652 0.042509
19851129 0.172635 0.084504 0.123239 0.069228 0.052563 0.065062
19851231 0.015015 0.112701 0.053292 0.043061 0.028021 0.045061
19860131 -0.007396 -0.025723 0.092262 0.009829 0.044071 0.002367
19860228 0.147541 0.003135 0.10929 0.0725 0.060381 0.071489
19860331 0.10161 0.004143 0.036946 0.053885 0.047192 0.052794
19860430 0.059382 0.031353 0.009501 -0.0079 0.016144 -0.014148
19860530 0.040359 -0.01776 0.023585 0.050844 0.036194 0.050229
19860630 0.088621 -0.038556 -0.082949 0.014246 0.008087 0.01411
19860731 -0.064741 -0.095563 -0.100503 -0.0597 -0.073128 -0.058683
19860829 -0.031949 0.055472 0.117647 0.066181 0.023269 0.071193
19860930 -0.098746 -0.030631 -0.240602 -0.079021 -0.059071 -0.085439
19861031 0.081181 -0.080855 0.056106 0.049303 0.023777 0.054729
19861128 0.003686 0.037209 -0.00627 0.015093 -0.006263 0.021477
19861231 0.034247 -0.056047 0.012618 -0.026388 -0.034609 -0.028288
19870130 0.129139 0.072917 0.087227 0.128496 0.117565 0.131767
19870227 0.052786 0.092039 0.054598 0.047918 0.074612 0.036924
19870331 0.025738 0.076165 0.051771 0.023664 0.036283 0.02639
19870430 -0.068306 0.066611 0 -0.017001 -0.017709 -0.01145
19870529 0.005865 0.006089 0.077922 0.005125 0.000573 0.006034
19870630 0.044431 0.015625 0.031325 0.043662 0.021487 0.047915
19870731 0.070225 -0.009231 0.214953 0.044248 0.035123 0.048224
19870831 0.062992 0.05264 -0.046243 0.037146 0.014544 0.034959
19870930 -0.038914 -0.104677 0.187879 -0.020774 -0.015876 -0.024166
19871030 -0.147287 -0.187396 -0.321429 -0.225363 -0.272248 -0.21763
19871130 -0.096242 -0.086939 0.140704 -0.072273 -0.05085 -0.085349
19871231 0.030405 0.042889 0.092511 0.070327 0.026065 0.072861
19880129 0.005763 -0.027056 -0.05746 0.04488 0.077392 0.040432
19880229 -0.006645 0.055395 0.11588 0.051695 0.060265 0.041817
19880331 0.031438 -0.084043 -0.040385 -0.016598 0.03569 -0.033343
19880429 0 0.053426 0.009018 0.010991 0.014016 0.009425
19880531 -0.006536 0.001985 -0.011952 0.000448 -0.017671 0.003176
19880630 0.034211 0.132222 0.092742 0.05146 0.047677 0.043256
19880729 -0.016026 -0.012758 -0.078413 -0.007272 0.000289 -0.005411
19880831 0.042345 -0.104573 -0.106426 -0.028006 -0.025001 -0.0386
19880930 0.10125 0.034753 0.033708 0.037202 0.016951 0.039729
19881031 -0.014286 0.062839 0.077174 0.017637 -0.011485 0.025964
19881130 0.012754 -0.024669 0.026316 -0.016412 -0.036484 -0.018891
19881230 0.028818 0.028481 0.003945 0.021075 0.018872 0.014688
19890131 0.047619 0.071795 -0.02279 0.066103 0.062124 0.071115
19890228 0.02139 -0.061435 -0.050505 -0.016446 0.002988 -0.028944
19890331 0.080419 -0.101852 -0.02766 0.021465 0.01806 0.020806
19890428 0.058537 0.044674 0.064333 0.048204 0.029089 0.05009
19890531 0.064516 -0.027763 0.055785 0.039338 0.025054 0.035138
19890630 -0.017922 0.020525 -0.091977 -0.004866 -0.007744 -0.007925
19890731 0.206208 0.027933 0.028879 0.077131 0.031017 0.08837
19890831 -0.022059 0.029 0.082105 0.022127 0.018626 0.015517
19890929 0.012632 -0.067236 -0.050584 -0.001474 0.005532 -0.006544
19891031 0.080224 -0.08238 -0.056557 -0.029281 -0.049934 -0.025175
19891130 0.072055 -0.014115 0.024017 0.017815 -0.0058 0.016541
19891229 0 -0.035851 -0.012793 0.018295 -0.012375 0.021417
19900131 -0.108414 0.047809 -0.038013 -0.070115 -0.046408 -0.068817
19900228 0.023593 0.065501 0.094808 0.014901 0.015434 0.008539
19900330 0.065957 0.021661 0.008247 0.02414 0.021315 0.024255
19900430 0.020067 0.027091 0.008998 -0.028286 -0.028117 -0.026887
19900531 0.183607 0.112018 0.09165 0.088936 0.045675 0.091989
19900629 -0.012188 -0.020833 -0.214552 -0.004196 0.005359 -0.008886
19900731 0.022535 -0.051064 -0.065558 -0.009405 -0.025732 -0.005223
19900831 -0.068871 -0.075471 -0.120205 -0.091896 -0.108911 -0.094314
19900928 -0.060355 0.044172 -0.017442 -0.053843 -0.080468 -0.051184
19901031 0.136076 -0.009401 -0.028402 -0.012504 -0.057155 -0.006698
19901130 0.035097 0.089775 0.009202 0.065744 0.035468 0.059934
19901231 0.005405 -0.005501 0.142857 0.029513 -0.004526 0.024828
19910131 0.048387 0.121681 0.064894 0.049078 0.084175 0.041518
19910228 0.074359 0.025325 0.09799 0.075847 0.133898 0.067281
19910328 0.040382 -0.115534 -0.12357 0.028923 0.078293 0.022203
19910430 -0.02765 -0.095499 0.001044 0.003322 0.031962 0.000346
19910531 0.085308 0.042087 0.086614 0.040732 0.031385 0.038577
19910628 -0.043843 -0.084806 -0.045894 -0.044029 -0.031773 -0.047893
19910731 0.103211 0.042471 0.001013 0.046795 0.034202 0.044859
19910830 0.093555 -0.031259 -0.033079 0.026819 0.027507 0.019649
19910930 -0.015361 0.069677 -0.060526 -0.010975 0.00813 -0.019144
19911031 0.032946 -0.05187 0.082353 0.017789 0.024639 0.01186
19911129 0.044878 -0.046209 -0.140625 -0.037275 -0.023735 -0.043928
19911231 0.156757 -0.037838 0.063636 0.106778 0.035353 0.111588
19920131 -0.034268 0.011236 0.068946 -0.001182 0.14997 -0.0199
19920228 0.054839 -0.021278 0.045455 0.013354 0.052124 0.009565
19920331 0.003425 -0.038849 0.023018 -0.0237 -0.014169 -0.021832
19920430 0.015291 0.086826 0.1255 0.013419 -0.033262 0.027893
19920529 0.060241 0.013333 0.075724 0.006439 0.005678 0.000964
19920630 -0.087727 0.078512 -0.109731 -0.019287 -0.039215 -0.017359
19920731 0.046875 -0.031928 0.030698 0.0399 0.027617 0.039374
19920831 0.026866 -0.072982 -0.126697 -0.02082 -0.0239 -0.023998
19920930 -0.054884 -0.067821 0.080311 0.012447 0.01105 0.009106
